iter	Passed	Remaining
404	6108	8973
405	6121	8955
406	6135	8939
407	6149	8922
408	6167	8911
409	6185	8900
410	6199	8884
411	6213	8868
412	6224	8847
413	6239	8831
414	6252	8813
415	6265	8795
416	6278	8777
417	6290	8758
418	6305	8743
419	6318	8726
420	6332	8708
421	6345	8691
422	6356	8670
423	6370	8654
424	6383	8636
425	6399	8623
426	6414	8607
427	6427	8590
428	6440	8572
429	6453	8554
430	6466	8537
431	6480	8521
432	6494	8504
433	6507	8487
434	6521	8470
435	6534	8452
436	6548	8436
437	6561	8419
438	6574	8402
439	6586	8382
440	6599	8365
441	6617	8353
442	6630	8337
443	6644	8320
444	6657	8303
445	6671	8286
446	6682	8267
447	6695	8249
448	6709	8233
449	6724	8219
450	6737	8201
451	6748	8182
452	6762	8165
453	6775	8148
454	6789	8132
455	6804	8117
456	6817	8100
457	6831	8084
458	6844	8066
459	6857	8050
460	6870	8033
461	6883	8016
462	6895	7997
463	6909	7981
464	6922	7965
465	6935	7947
466	6950	7933
467	6962	7914
468	6975	7898
469	6988	7880
470	7002	7865
471	7015	7848
472	7026	7828
473	7041	7814
474	7055	7797
475	7069	7782
476	7082	7765
477	7093	7746
478	7106	7729
479	7121	7715
480	7136	7699
481	7150	7684
482	7164	7668
483	7177	7651
484	7190	7635
485	7203	7618
486	7218	7604
487	7230	7585
488	7245	7571
489	7258	7555
490	7272	7538
491	7285	7522
492	7296	7504
493	7311	7488
494	7324	7472
495	7338	7456
496	7353	7442
497	7365	7424
498	7378	7407
499	7391	7391
500	7404	7374
501	7417	7358
502	7428	7340
503	7442	7324
504	7458	7310
505	7472	7295
506	7486	7279
507	7498	7262
508	7510	7244
509	7524	7229
510	7537	7213
511	7553	7199
512	7567	7184
513	7580	7167
514	7591	7149
515	7608	7137
516	7625	7123
517	7638	7107
518	7652	7092
519	7666	7077
520	7681	7062
521	7695	7047
522	7706	7029
523	7720	7013
524	7733	6997
525	7747	6981
526	7762	6967
527	7776	6952
528	7788	6934
529	7801	6918
530	7815	6902
531	7829	6887
532	7842	6871
533	7860	6859
534	7878	6847
535	7896	6835
536	7914	6824
537	7931	6811
538	7949	6798
539	7965	6785
540	7982	6772
541	7999	6759
542	8019	6749
543	8036	6736
544	8053	6723
545	8070	6710
546	8089	6699
547	8103	6683
548	8122	6672
549	8133	6655
550	8147	6639
551	8164	6626
552	8185	6616
553	8201	6602
554	8215	6587
555	8228	6571
556	8242	6555
557	8255	6539
558	8267	6522
559	8280	6506
560	8295	6491
561	8308	6475
562	8321	6459
563	8333	6442
564	8347	6426
565	8360	6410
566	8373	6394
567	8386	6378
568	8400	6362
569	8412	6346
570	8429	6333
571	8443	6317
572	8456	6301
573	8469	6285
574	8480	6268
575	8493	6252
576	8510	6238
577	8523	6223
578	8537	6208
579	8550	6191
580	8562	6174
581	8576	6159
582	8590	6144
583	8608	6131
584	8622	6117
585	8636	6101
586	8649	6085
587	8661	6069
588	8675	6053
589	8688	6037
590	8702	6022
591	8716	6007
592	8731	5992
593	8743	5976
594	8757	5961
595	8770	5945
596	8784	5929
597	8797	5914
598	8809	5897
599	8827	5884
600	8839	5868
601	8853	5853
602	8867	5837
603	8881	5822
604	8894	5806
605	8906	5790
606	8921	5775
607	8934	5760
608	8948	5745
609	8963	5730
610	8977	5715
611	8988	5698
612	9001	5683
613	9016	5668
614	9028	5652
615	9042	5636
616	9053	5620
617	9066	5604
618	9080	5588
619	9094	5574
620	9109	5559
621	9123	5544
622	9138	5529
623	9151	5514
624	9165	5499
625	9178	5483
626	9192	5468
627	9205	5453
628	9217	5436
629	9234	5423
630	9247	5407
631	9261	5392
632	9275	5377
633	9288	5362
634	9299	5345
635	9313	5330
636	9326	5315
637	9340	5299
638	9354	5284
639	9365	5268
640	9380	5253
641	9393	5238
642	9407	5223
643	9422	5208
644	9435	5193
645	9450	5178
646	9462	5162
647	9476	5147
648	9489	5132
649	9502	5116
650	9514	5100
651	9527	5085
652	9541	5070
653	9555	5055
654	9568	5040
655	9581	5024
656	9593	5008
657	9609	4994
658	9625	4980
659	9641	4967
660	9657	4952
661	9670	4937
662	9684	4922
663	9697	4907
664	9709	4891
665	9723	4876
666	9737	4861
667	9751	4846
668	9765	4831
669	9779	4816
670	9791	4801
671	9805	4785
672	9818	4770
673	9831	4755
674	9845	4740
675	9860	4725
676	9873	4710
677	9885	4694
678	9897	4679
679	9911	4664
680	9927	4650
681	9943	4636
682	9959	4622
683	9977	4609
684	9994	4596
685	10010	4582
686	10027	4568
687	10046	4556
688	10063	4542
689	10083	4530
690	10101	4517
691	10119	4504
692	10138	4491
693	10155	4477
694	10173	4464
695	10194	4452
696	10211	4439
697	10225	4424
698	10239	4409
699	10252	4393
700	10265	4378
701	10276	4362
702	10291	4348
703	10304	4332
704	10317	4317
705	10331	4302
706	10342	4286
707	10355	4271
708	10369	4255
709	10382	4240
710	10394	4225
711	10409	4210
712	10421	4194
713	10434	4179
714	10448	4164
715	10462	4150
716	10474	4134
717	10487	4119
718	10501	4104
