iter	RMSE
0	28.49091909
1	27.73907348
2	27.07912497
3	26.49634944
4	25.98200898
5	25.50858439
6	25.09115381
7	24.72769863
8	24.38998928
9	24.08961126
10	23.80382078
11	23.54084861
12	23.33233513
13	23.14013341
14	22.92926258
15	22.75275389
16	22.59342727
17	22.43682511
18	22.29237119
19	22.16059538
20	22.02383329
21	21.90195683
22	21.79211735
23	21.69151237
24	21.57709625
25	21.46345915
26	21.37904369
27	21.28541741
28	21.19719696
29	21.09565227
30	21.01800971
31	20.93396479
32	20.82221866
33	20.75618774
34	20.69517659
35	20.6087255
36	20.53820213
37	20.47683381
38	20.41457492
39	20.34502401
40	20.27298372
41	20.18208087
42	20.13039317
43	20.07779345
44	20.02250659
45	19.94488823
46	19.88849429
47	19.81254841
48	19.75234075
49	19.70640982
50	19.65869895
51	19.60112523
52	19.54407856
53	19.49749422
54	19.45082678
55	19.40480048
56	19.3649323
57	19.30246545
58	19.25998178
59	19.21823792
60	19.18022284
61	19.14156054
62	19.09767177
63	19.06101008
64	19.00224349
65	18.95268152
66	18.92000323
67	18.85700718
68	18.8131358
69	18.77505634
70	18.74015072
71	18.7110201
72	18.67261832
73	18.61515794
74	18.57230091
75	18.52580658
76	18.48566904
77	18.45341641
78	18.399724
79	18.34829218
80	18.30804023
81	18.27102754
82	18.23187995
83	18.17610919
84	18.14396812
85	18.11672762
86	18.08678396
87	18.04330779
88	18.00804261
89	17.97991284
90	17.94834917
91	17.91185605
92	17.88653885
93	17.85999843
94	17.83520986
95	17.80190428
96	17.762636
97	17.71947869
98	17.68765238
99	17.66078905
100	17.62047379
101	17.58527515
102	17.56011825
103	17.52331168
104	17.49882762
105	17.45447406
106	17.42529574
107	17.39721845
108	17.3448941
109	17.31446706
110	17.28826943
111	17.25980486
112	17.22446706
113	17.20046207
114	17.17650073
115	17.13263666
116	17.08573563
117	17.06046268
118	17.03835642
119	16.99790365
120	16.97727813
121	16.9553221
122	16.91965788
123	16.88704737
124	16.84032816
125	16.81290044
126	16.75914576
127	16.72965728
128	16.69847928
129	16.66601408
130	16.64336176
131	16.62364267
132	16.59300676
133	16.56521104
134	16.54356837
135	16.51956303
136	16.48299676
137	16.45961528
138	16.44073098
139	16.41532162
140	16.39369418
